参数名称|&|参数描述|&|说明
date|&|交易所行情日期|&|格式：YYYY-MM-DD
code|&|证券代码|&|格式：sh.600000。sh：上海，sz：深圳
open|&|今开盘价格|&|精度：小数点后4位；单位：人民币元
high|&|最高价|&|精度：小数点后4位；单位：人民币元
low|&|最低价|&|精度：小数点后4位；单位：人民币元
close|&|今收盘价|&|精度：小数点后4位；单位：人民币元
preclose|&|昨日收盘价|&|精度：小数点后4位；单位：人民币元
volume|&|成交数量|&|单位：股
amount|&|成交金额|&|精度：小数点后4位；单位：人民币元
adjustflag|&|复权状态|&|不复权、前复权、后复权
turn|&|换手率|&|精度：小数点后6位；单位：%
tradestatus|&|交易状态|&|1：正常交易 0：停牌
pctChg|&|涨跌幅（百分比）|&|精度：小数点后6位
peTTM|&|滚动市盈率|&|精度：小数点后6位
psTTM|&|滚动市销率|&|精度：小数点后6位
pcfNcfTTM|&|滚动市现率|&|精度：小数点后6位
pbMRQ|&|市净率|&|精度：小数点后6位
isST|&|是否ST|&|1是，0否
