指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000032,上证能源,上证能源行业指数,2009/1/9,上海证券交易所,选择上海证券市场能源行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000033,上证材料,上证原材料行业指数,2009/1/9,上海证券交易所,选择上海证券市场原材料行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000034,上证工业,上证工业行业指数,2009/1/9,上海证券交易所,选择上海证券市场工业行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000035,上证可选,上证可选消费行业指数,2009/1/9,上海证券交易所,选择上海证券市场可选消费行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000036,上证消费,上证主要消费行业指数,2009/1/9,上海证券交易所,选择上海证券市场主要消费行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000037,上证医药,上证医药卫生行业指数,2009/1/9,上海证券交易所,选择上海证券市场医药卫生行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000038,上证金融,上证金融地产行业指数,2009/1/9,上海证券交易所,选择上海证券市场金融地产行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000039,上证信息,上证信息技术行业指数,2009/1/9,上海证券交易所,选择上海证券市场信息技术行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000040,上证电信,上证电信业务行业指数,2009/1/9,上海证券交易所,选择上海证券市场电信业务行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000041,上证公用,上证公用事业行业指数,2009/1/9,上海证券交易所,选择上海证券市场公用事业行业中规模大、流动性好的股票组成样本股， 以反映上海证券市场该行业公司股票的整体表现。
sh.000104,380能源,上证380能源指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属能源行业的全部股票作为样本股。
sh.000105,380材料,上证380原材料指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属原材料行业的全部股票作为样本股。
sh.000106,380工业,上证380工业指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属工业行业的全部股票作为样本股。
sh.000107,380可选,上证380可选消费指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属可选消费行业的全部股票作为样本股。
sh.000108,380消费,上证380主要消费指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属主要消费行业的全部股票作为样本股。
sh.000109,380医药,上证380医药卫生指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属医药卫生行业的全部股票作为样本股。
sh.000110,380金融,上证380金融地产指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属金融地产行业的全部股票作为样本股。
sh.000111,380信息,上证380信息技术指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属信息技术行业的全部股票作为样本股。
sh.000112,380电信,上证380电信业务指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属电信行业的全部股票作为样本股。
sh.000113,380公用,上证380公用事业指数,2011/6/13,上海证券交易所,将上证380指数全部样本股中所属公用事业行业的全部股票作为样本股。
sh.000908,300能源,沪深300能源指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取能源行业的全部股票组成样本股。
sh.000909,300材料,沪深300原材料指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取原材料行业的全部股票组成样本股
sh.000910,300工业,沪深300工业指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取工业行业的全部股票组成样本股。
sh.000911,300可选,沪深300可选消费指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取可选消费业的全部股票组成样本股.
sh.000912,300消费,沪深300主要消费指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取主要消费业的全部股票组成样本股。
sh.000913,300医药,沪深300医药卫生指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取医药卫生行业的全部股票组成样本股。
sh.000914,300金融,沪深300金融地产指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取金融地产行业的全部股票组成样本股。
sh.000917,300公用,沪深300公用事业指数,2007/7/2,中证指数有限公司,从沪深300指数成份股中选取公用事业类的全部股票组成样本股。
sh.000928,中证能源,中证能源指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于能源行业的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000931,中证可选,中证可选消费指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于可选消费类的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000932,中证消费,中证主要消费指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于主要消费类的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000933,中证医药,中证医药卫生指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于医药卫生行业的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000934,中证金融,中证金融地产指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于金融地产行业的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000935,中证信息,中证信息技术指数,2009/7/3,中证指数有限公司,将中证800指数800只样本股中属于信息技术行业的全部股票作为样本，以反映沪深A股中该行业公司股票的整体表现。
sh.000986,全指能源,中证全指能源指数,2011/8/2,中证指数有限公司,从中证全指指数样本股中选取流动性和市场代表性较好的能源行业的股票作为样本股。
