指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000015,红利指数,上证红利指数,2005/1/4,上海证券交易所,挑选在上交所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的50只股票作为样本，以反映上海证券市场高红利股票的整体状况和走势。
sh.000018,180金融,上证180金融股指数,2007/12/10,上海证券交易所,以上证180指数样本股中银行、保险、证券和信托等行业的股票构成样本股，反映上海证券市场的金融股走势。
sh.000019,治理指数,上证公司治理指数,2008/1/2,上海证券交易所,以上证公司治理板块的股票作为样本股，目的是鼓励和促进上市公司进一步改善公司治理，提升上市公司的整体质量。
sh.000021,180治理,上证180公司治理指数,2008/9/10,上海证券交易所,从上证180指数与上证公司治理指数样本股中挑选100只规模大、流动性好的股票作为样本股，以反映上证180指数中治理状况良好公司股票的走势。
sh.000025,180基建,上证180基建指数,2008/12/15,上海证券交易所,从上证180指数中挑选拥有、管理基础设施和从事基础设施建设的公司股票组成样本股，以反映上海证券市场基建类股票的整体走势。
sh.000026,180资源,上证180资源指数,2008/12/15,上海证券交易所,从市值180指数中挑选拥有、开发和开采自然资源的公司股票组成样本股，以反映上海证券市场自然资源类股票的整体走势。
sh.000027,180运输,上证180交通运输指数,2008/12/15,上海证券交易所,由上证180指数中拥有、管理交通运输设施和提供运输服务的公司股票组成样本股，以反映上海证券市场交通运输类股票的整体走势
sh.000031,180R价值,上证180相对价值指数,2009/1/9,上海证券交易所,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000042,上证央企,上证中央企业50指数,2009/3/30,上海证券交易所,选择最近一年（新股为上市以来） A 股日均成交金额与日均总市值综合排名前 50 名的股票作为样本，以反映沪市中央企业控股上市股票的整体表现。
sh.000048,责任指数,上证社会责任指数,2009/8/5,上海证券交易所,以上证公司治理板块中在社会责任的履行方面表现良好公司股票作为样本股，以鼓励和促进上市公司积极履行社会责任。
sh.000049,上证民企,上证民营企业50指数,2009/8/25,上海证券交易所,挑选上海市场规模大、流动性好、具有代表性的 50家民营上市公司股票为样本，刻画了沪市大型民营上市公司股票的整体表现。
sh.000054,上证地企,上证地方国有企业50指数,2010/1/4,上海证券交易所,挑选上海市场规模大、流动性好、具有代表性的50家地方国有企业上市公司股票为样本，刻画了沪市大型地方国有企业上市公司股票的整体表现。
sh.000056,上证国企,上证国有企业100指数,2010/1/4,上海证券交易所,由上证地方国有企业50指数和上证中央企业50指数组合而成，能够全面刻画沪市大型国有企业上市公司股票的整体表现。
sh.000062,上证沪企,上证沪企指数,2010/1/4,上海证券交易所,由在上交所上市且注册地在上海的规模大、流动好，最具代表性的50家公司组成样本，以综合反映上海本地股的市场走势。
sh.000063,上证周期,上证周期行业50指数,2010/2/3,上海证券交易所,从上证全指样本股中挑选规模大、流动性好、具有周期行业特征的50只公司股票组成样本股，以反映上海证券市场中具有不同行业特征的股票走势。
sh.000064,非周期,上证非周期行业100指数,2010/2/3,上海证券交易所,从上证全指样本股中挑选具有非周期行业特征的100只公司股票组成样本股，以反映上海证券市场中具有不同行业特征的股票走势。
sh.000065,上证龙头,上证龙头企业指数,2010/2/9,上海证券交易所,由沪市A股各二级行业中规模大、市场占有率高的龙头公司股票组成与样本股，反映沪市A股各行业龙头公司股票的整体表现。
sh.000066,上证商品,上证大宗商品股票指数,2010/4/30,上海证券交易所,由沪市A股中规模大、流动性好的大宗商品生产类公司股票组成样本股，反映沪市A股中大宗商品类股票的整体表现。
sh.000067,上证新兴,上证新兴产业指数,2010/4/30,上海证券交易所,选择沪市中规模大、流动性好的50家新兴产业公司组成样本股，以综合反映沪市新兴产业公司的整体表现。
sh.000068,上证资源,上证自然资源指数,2010/5/28,上海证券交易所,由沪市A股中规模大、流动性好的50只资源类公司股票组成样本股，反映沪市A股中资源类股票的整体表现。
sh.000069,消费80,上证消费80指数,2010/5/28,上海证券交易所,由沪市A股中规模大、流动性好的80只主要消费、可选消费和医药卫生类公司股票组成样本股，反映沪市A股中消费类股票的整体表现。
sh.000091,沪财中小,上证财富中小盘指数,2011/4/6,上海证券交易所,挑选沪市中小市值股票中财富增长速度最快的 200 家公司作为样本，并且样本股的权重配置与其财富增长速度的大小相适应。
sh.000092,资源50,上证资源50指数,2011/5/10,上海证券交易所,由沪市A股中规模大、流动性好的50只资源类股票组成样本股，以反映沪市A股中资源类股票的整体表现。
sh.000094,上证上游,上证上游产业指数,2011/5/10,上海证券交易所,由上证全指指数样本股中分属上游产业链的公司股票组成样本股，反映上游产业链特征公司股票的走势。
sh.000095,上证中游,上证中游产业指数,2011/5/10,上海证券交易所,由上证全指指数样本股中分属中游产业链的公司股票组成样本股，反映中游产业链特征公司股票的走势。
sh.000096,上证下游,上证下游产业指数,2011/5/10,上海证券交易所,由上证全指指数样本股中分属下游产业链的公司股票组成样本股，反映下游产业链特征公司股票的走势。
sh.000097,高端装备,上证高端装备制造60指数,2011/5/24,上海证券交易所,由在上交所上市的60只高端装备制造业股票组成样本股，采取等权重加权计算，反映沪市高端装备制造业公司股票的整体表现。
sh.000102,沪投资品,上证投资品指数,2011/6/13,上海证券交易所,从上证全指样本股的投资品主题股票中挑选规模大、流动性好的50只股票组成样本股，以反映沪市投资品主题股票的整体走势。
sh.000103,沪消费品,上证消费品指数,2011/6/13,上海证券交易所,从上证全指样本股的消费品主题股票中挑选规模大、流动性好的50只股票组成样本股，以反映沪市消费品主题股票的整体走势。
sh.000114,持续产业,上证可持续发展产业主题指数,2011/8/22,上海证券交易所,由可持续发展相关产业中规模大、流动性好的40只股票组成样本股，以反映沪市可持续发展主题相关产业公司股票的走势。
sh.000121,医药主题,上证医药主题指数,2011/10/18,上海证券交易所,由沪市A股中规模大、流动性好的50只医药主题公司股票组成样本股，反映沪市A股中医药主题公司股票的整体表现。
sh.000122,农业主题,上证农业主题指数,2011/10/18,上海证券交易所,由沪市沪市A股中规模大、流动性好的40只农业公司股票组成样本股，反映沪市A股中农业主题公司股票的整体表现。
sh.000123,180动态,上证180动态指数,2013/2/8,上海证券交易所,由上证180的全部样本组成样本空间，对样本空间的股票，根据波动率因子和质量因子计算敏感性评分，选取对宏观环境和经济周期变动具有较高风险敞口的90只股票作为样本股。
sh.000125,180稳定,上证180稳定指数,2013/2/8,上海证券交易所,由上证180的全部样本组成样本空间，对样本空间的股票，根据波动率因子和质量因子计算敏感性评分，选取对宏观环境和经济周期变动具有较低风险敞口的90只股票作为样本股。
