指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000841,800医药,中证800制药与生物科技指数,2012/12/21,中证指数有限公司,以中证800指数成份股为样本空间，选择制药、生物科技和生命科学行业的股票编制而成。
sh.000854,500原料,中证500原材料指数,2013/11/6,中证指数有限公司,以中证500指数成份股为样本空间，选择属于原材料行业的全部股票组成样本股。
sh.000856,500工业,中证500工业指数,2013/11/6,中证指数有限公司,从中证500指数成份股中选择工业类的全部股票组成样本股，反映该行业公司股票的整体表现。
sh.000857,500医药,中证500医药卫生指数,2013/11/6,中证指数有限公司,从中证500指数成份股中选择医药卫生行业的全部股票组成样本股，反映该行业公司股票的整体表现。
sh.000858,500信息,中证500信息技术指数,2013/11/6,中证指数有限公司,从中证500指数成份股中选择信息技术行业的全部股票组成样本股，反映该行业公司股票的整体表现。
sh.000951,300银行,沪深300银行指数,2009/10/28,中证指数有限公司,反映我国证券市场银行类股票的整体走势。
sh.000952,300地产,沪深300地产指数,2009/10/28,中证指数有限公司,反映我国证券市场地产类股票的整体走势。
sh.000957,300运输,沪深300运输指数,2009/6/16,中证指数有限公司,从沪深300指数300只样本股中选取属于运输行业的全部股票作为样本股，反映该行业公司股票的整体表现。
sz.399951,300银行,沪深300银行指数,2009/10/28,中证指数有限公司,
sz.399952,300地产,沪深300地产指数,2009/10/28,中证指数有限公司,
sz.399957,300运输,沪深300运输指数,2009/6/16,中证指数有限公司,将沪深300指数300只样本股，按行业分类标准分为不同细分行业，选取归属于运输行业的全部股票作为样本。
sz.399965,800地产,中证800地产指数,2014/4/4,中证指数有限公司,以中证800指数成份股为样本空间，选择地产行业的股票作为样本。
