指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000029,180价值,上证180价值指数,2009/1/9,上海证券交易所,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000031,180R价值,上证180相对价值指数,2009/1/9,上海证券交易所,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000058,全指价值,上证全指价值指数,2010/1/4,上海证券交易所,上证全指风格指数包括上证全指成长、上证全指价值、上证全指相对成长和上证全指相对价值，以综合反映上证全指中不同风格特征股票的整体表现。
sh.000060,全R价值,上证全指相对价值指数,2010/1/4,上海证券交易所,上证全指风格指数包括上证全指成长、上证全指价值、上证全指相对成长和上证全指相对价值，以综合反映上证全指中不同风格特征股票的整体表现。
sh.000118,380价值,上证380价值指数,2011/10/18,上海证券交易所,采用股息收益率、每股净资产与价格比率、每股净现金流与价格比率、每股收益与价格比率作为股票价值特征的衡量因子，从上证380指数样本股中挑选最具代表性的120只价值股票作为样本股。
sh.000120,380R价值,上证380相对价值指数,2011/10/18,上海证券交易所,由上证380指数全部样本股组成，样本股的市值按照一定的风格权重分配到相对成长与相对价值指数中。
sh.000919,300价值,沪深300价值指数,2008/1/21,中证指数有限公司,选取成长Z值最高的100只股票作为样本股。
sz.399348,深证价值,深证300价值价格指数,2009/11/4,深圳证券交易所,在深证300指数样本股范围内，计算每只股票的价值因子数值，然后对变量值进行标准化，挑选价值因子排名前100只组成样本股。
sz.399371,国证价值,国证价值指数,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399373,大盘价值,巨潮大盘价值,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，编制该系列指数的目的在于提供可交易的指数产品和金融衍生工具的标的物。
sz.399375,中盘价值,巨潮中盘价值,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399377,小盘价值,巨潮小盘价值,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399604,中小价值,中小300价值P,2010/5/24,深圳证券交易所,以中小板300指数样本股为选样空间，挑选100只价值因子最突出的股票组成相应指数样本股。
sz.399627,中创价值,中创500价值,2011/8/15,深圳证券交易所,以中创500指数样本股为样本空间，计算每只股票的价值因子的变量数值并进行标准化，挑选价值因子排名最高的166只股票组成样本股，以反映中小板和创业板中价值型股票的市场表现。
sz.399629,700价值,深证700价值指数,2011/9/1,深圳证券交易所,以深证700指数样本股为样本空间，计算每只股票的价值因子的变量数值并进行标准化，挑选价值因子排名最高的233只股票组成样本股，以反映深圳证券小盘市场中价值型股票的走势。
sz.399631,1000价值,深证1000价值指数,2011/9/1,深圳证券交易所,深证1000指数样本股为样本空间，计算每只股票的价值因子的变量数值并进行标准化，挑选价值因子排名最高的333只股票组成样本股，以反映深市大中小盘市场中价值型股票的走势。
sz.399668,创业板V,创业300价值,2013/1/7,深圳证券交易所,以创业板300指数样本股为选样空间，选取价值Z值最高的100只股票作为指数样本股。
sz.399919,300 价值,沪深300价值指数,2008/1/21,中证指数有限公司,选取成长Z值最高的100只股票作为沪深300成长指数样本股。
