指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000012,国债指数,上证国债指数,2003/1/2,上海证券交易所,以上交所上市的所有固定利率国债为样本，按照国债发行量加权而成，反映债券市场整体变动状况。
sh.000013,企债指数,上证企债指数,2003/6/9,上海证券交易所,以沪深证券交易所上市的非股权连接类企业债为样本，反映中国证券市场企业债整体走势和收益状况
sh.000022,沪公司债,上证公司债指数,2008/11/19,上海证券交易所,由在沪市交易的公司债券作为样本，综合反映上交所公司债券整体价格变动趋势。
sh.000061,沪企债30,上证企债30指数,2010/1/4,上海证券交易所,从上交所市场挑选30只质地好、规模大、流动性强的企业债券组成样本，是国内首只实时成份债券指数。
sh.000101,5年信用,上证5年期信用债指数,2013/4/1,上海证券交易所,由上交所市场剩余期限位于4至7年之间、主体信用等级AA级及以上、发行量8亿元及以上的信用债券组成样本。
sh.000116,信用100,上证信用债100指数,2013/2/26,上海证券交易所,由在上交所上市交易的剩余期限1年以上、信用等级AA级及以上、发行量8亿元及以上的信用债券作为样本空间，选择考查区间内日均换手率和交易天数综合排名位于前1/2的债券作为剩余样本，选取实际交易天数、日均成交金额和发行规模综合排名前100位的样本作为指数样本。
sh.000139,上证转债,上证可转换债券指数,2012/9/12,上海证券交易所,由在上交所上市的面值余额3千万元以上的可转换公司债券构成样本，以反映上海市场可转换债券的总体表现。
sh.000832,中证转债,中证可转换债券指数,2012/9/12,中证指数有限公司,以在上交所和深交所上市的面值余额3千万元以上的可转换公司债券作为样本，反映沪深全市场可转换债券的整体表现。
sh.000833,中高企债,中证1-7年中高收益企债指数,2012/9/10,上海证券交易所,以在上交所和深交所上市交易的非股权连接类的企业债券（包括公司债券和分离交易可转换债券）作为样本空间，且满足剩余期限1年以上7年以下、附息方式为固定利率付息和一次还本付息、信用级别为AA+级及以下。
sz.399298,深信中高,深信中高等级信用债指数,2014/9/25,深圳证券交易所,以在深交所上市的企业债、公司债及分离式可转债为样本空间，选取样本债券剩余期限一年以上，附息方式为固定利率付息或一次还本付息，信用级别在AA+及以上的投资级债券作为样本，以反映深市中高等级信用债的总体运行特征。
sz.399299,深信中低,深信中低等级信用债指数,2014/9/25,深圳证券交易所,以在深圳证券交易所上市的企业债、公司债及分离式可转债为样本空间，选取样本债券剩余期限一年以上，附息方式为固定利率付息或一次还本付息，信用级别在AA+及以下的投资级债券作为样本，以反映深市中低等级信用债的总体运行特征。
sz.399301,深信用债,深证信用债综合指数,2013/1/11,深圳证券交易所,以在深交所上市的企业债、公司债及分离式可转债为样本空间，选取样本债券剩余期限一年以上，附息方式为固定利率付息和一次还本付息，债券币种为人民币，信用级别在投资级以上的债券作为样本，反映深市信用债的整体表现。
sz.399302,深公司债,深证公司债综合指数,2013/1/11,深圳证券交易所,以在深交所上市的公司债及分离式可转债为样本空间，选取样本债券剩余期限一年以上，附息方式采用固定利率付息和一次还本付息，债券币种为人民币，信用级别在投资级以上的债券作为样本，反映深市信用债的整体表现。
sz.399307,深证转债,深证转债指数,2014/8/27,深圳证券交易所,以在深交所上市的可转换公司债券为样本空间，选取面值余额不小于3千万元的债券组成指数样本。
sz.399413,深证转债,深证转债指数,2014/8/27,深圳证券交易所,以在深交所和上交所上市的可转换公司债券为样本空间，选取面值余额不小于3千万元的债券组成指数样本。
sz.399481,企债指数,国证企债指数,2003/1/2,深圳证券交易所,选取在交易所上市交易的剩余期限在一年以上（含一年）、固定利率且不附带转股、优先购买股票权利的非ST的企业债券作为成份债券。
sz.399923,公司债指,中证指数有限公司债指数,2008/11/19,中证指数有限公司,20160603，已停牌
