指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000028,180成长,上证180成长指数,2009/1/9,上海证券交易所,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000030,180R成长,上证180相对成长指数,2009/1/9,上海证券交易所,上证180风格指数系列以上证180指数为样本空间，该指数系列共4只指数，包括上证180成长指数和上证180价值指数，上证180相对成长指数和上证180相对价值指数。
sh.000057,全指成长,上证全指成长指数,2010/1/4,上海证券交易所,上证全指风格指数包括上证全指成长、上证全指价值、上证全指相对成长和上证全指相对价值，以综合反映上证全指中不同风格特征股票的整体表现。
sh.000059,全R成长,上证全指相对成长指数,2010/1/4,上海证券交易所,上证全指风格指数包括上证全指成长、上证全指价值、上证全指相对成长和上证全指相对价值，以综合反映上证全指中不同风格特征股票的整体表现。
sh.000117,380成长,上证380成长指数,2011/10/18,上海证券交易所,采用营业收入增长率、净利润增长率和内部增长率作为股票成长特征的衡量因子，从上证380指数样本股中挑选最具代表性的120只成长股票作为样本股。
sh.000119,380R成长,上证380相对成长指数,2011/10/18,上海证券交易所,由上证380指数全部样本股组成，样本股的市值按照一定的风格权重分配到相对成长与相对价值指数中。
sh.000918,300成长,沪深300成长指数,2008/1/21,中证指数有限公司,选取成长Z值最高的100只股票作为指数样本股。
sz.399346,深证成长,深证300成长价格指数,2009/11/4,深圳证券交易所,在深证300指数样本股范围内，计算每只股票的成长因子数值，然后对变量值进行标准化，挑选成长因子排名前100只组成样本股。
sz.399370,国证成长,国证成长指数,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399372,大盘成长,巨潮大盘成长,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399374,中盘成长,巨潮中盘成长,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399376,小盘成长,巨潮小盘成长,2010/1/4,深圳证券交易所,巨潮风格系列指数之一，旨在提供可交易的指数产品和金融衍生工具的标的物。
sz.399602,中小成长,中小300成长P,2010/5/24,深圳证券交易所,以中小板300指数样本股为选样空间，挑选100只成长因子最突出的股票组成指数样本股。
sz.399626,中创成长,中创500成长,2011/8/15,深圳证券交易所,以中创500指数样本股为样本空间，计算每只股票的成长因子的变量数值并进行标准化，挑选成长因子排名最高的166只股票组成样本股，以反映中小板和创业板中成长型股票的市场表现。
sz.399628,700成长,深证700成长指数,2011/9/1,深圳证券交易所,以深证700指数样本股为样本空间，计算每只股票的成长因子的变量数值并进行标准化，挑选成长因子排名最高的233只股票组成样本股，以反映深圳证券小盘市场中成长型股票的走势。
sz.399630,1000成长,深证1000成长指数,2011/9/1,深圳证券交易所,以深证1000指数样本股为样本空间，计算每只股票的成长因子的变量数值并进行标准化，挑选成长因子排名最高的333只股票组成样本股，以反映深市大中小盘市场中成长型股票的走势。
sz.399667,创业板G,创业300成长,2013/1/7,深圳证券交易所,以创业板300指数样本股为样本空间，选取成长Z值最高的100只股票作为指数样本股。
sz.399918,300 成长,沪深300成长指数,2008/1/21,中证指数有限公司,选取成长Z值最高的100只股票作为沪深300成长指数样本股。
sz.399920,300R成长,沪深300相对成长指数,2008/1/21,中证指数有限公司,由沪深300指数全部样本股组成，样本股的市值按照一定的风格权重分配到相对成长与相对价值指数中。
