指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000050,50等权,上证50等权重指数,2011/1/4,上海证券交易所,对上证50指数样本股采用等权重加权方式计算而衍生出的创新指数。
sh.000051,180等权,上证180等权重指数,2011/5/24,上海证券交易所,对上证180指数样本股采用等权重加权方式计算而衍生出的创新指数。
sh.000052,50基本,上证50基本面加权指数,2012/1/9,上海证券交易所,在不改变原指数样本股的前提下，用以财务指标衡量的基本面价值来分配样本股的权重，以期获得更好的风险收益特征。
sh.000053,180基本,上证180基本面加权指数,2012/1/9,上海证券交易所,在不改变原指数样本股的前提下，用以财务指标衡量的基本面价值来分配样本股的权重，以期获得更好的风险收益特征。
sh.000070,能源等权,上证能源行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000071,材料等权,上证原材料行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000072,工业等权,上证工业行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000073,可选等权,上证可选消费行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000074,消费等权,上证主要消费行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000075,医药等权,上证医药卫生行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000076,金融等权,上证金融地产行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000077,信息等权,上证信息技术行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000078,电信等权,上证电信业务行业分层等权重指数,2010/8/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000079,公用等权,上证180基本面加权指数,2010/9/18,上海证券交易所,与上证行业指数系列选样方法相同，但在加权方式上，上证行业分层等权重指数中各二级行业权重与其自由流通市值权重相当，并对二级行业内股票采取等权重加权方式。
sh.000093,180分层,上证180行业分层等权重指数,2011/5/24,上海证券交易所,与上证180指数拥有相同的成份股，采用行业分层等权重加权方式计算。
sh.000098,上证F200,上证基本面200指数,2011/7/1,上海证券交易所,挑选基本面价值（由营业收入、现金流、净资产和分红四个财务指标衡量）排名前200家沪市A股上市公司作为样本。
sh.000099,上证F300,上证基本面300指数,2011/7/1,上海证券交易所,挑选基本面价值（由营业收入、现金流、净资产和分红四个财务指标衡量）排名第201至第500家沪市A股上市公司作为样本。
sh.000100,上证F500,上证基本面500指数,2011/7/1,上海证券交易所,挑选基本面价值（由营业收入、现金流、净资产和分红四个财务指标衡量）排名前500家沪市A股上市公司作为样本。
sh.000115,380等权,上证380等权重指数,2011/8/12,上海证券交易所,与上证380指数拥有相同的成份股，采用等权重加权方式。
sh.000128,380基本,上证380基本面加权指数,2012/1/9,上海证券交易所,在不改变原指数样本股的前提下，用以财务指标衡量的基本面价值来分配样本股的权重，以期获得更好的风险收益特征。
sh.000129,180波动,上证180波动率加权指数,2012/1/9,上海证券交易所,以母指数为样本空间，选取历史波动率最小的100只股票作为样本股，且个股的权重与历史波动率成反比，即波动率越小，权重越大。
sh.000130,380波动,上证380波动率加权指数,2012/1/9,上海证券交易所,以母指数为样本空间，选取历史波动率最小的100只股票作为样本股，且个股的权重与历史波动率成反比，即波动率越小，权重越大
sh.000135,180高贝,上证180高贝塔指数,2012/8/6,上海证券交易所,以上证180指数全部样本股（剔除上市未满半年的股票）为样本空间，选择排名前60的股票作为样本股。
sh.000136,180低贝,上证180低贝塔指数,2012/8/6,上海证券交易所,以上证180指数全部样本股（剔除上市未满半年的股票）为样本空间，选择排名后60的股票作为样本股。
sh.000137,380高贝,上证380高贝塔指数,2012/8/6,上海证券交易所,以上证380指数全部样本股（剔除上市未满半年的股票）为样本空间，选择排名前100的股票作为样本股。
sh.000138,380低贝,上证380低贝塔指数,2012/8/6,上海证券交易所,以上证380指数全部样本股（剔除上市未满半年的股票）为样本空间，选择排名后100的股票作为样本股。
sh.000828,300高贝,沪深300高贝塔指数,2012/8/6,中证指数有限公司,以沪深300指数全部样本股（剔除上市未满半年的股票）为样本空间，选择排名前100的股票作为样本股。
sh.000842,800等权,中证800等权重指数,2012/12/21,中证指数有限公司,与中证800指数样本相同，通过设置等权重因子使得指数中每只成份股的权重相等，可以获得与中证800指数不同的风险收益特征，满足投资者多样化的投资需求。
sh.000925,基本面50,中证锐联基本面50指数,2009/2/26,中证指数有限公司,挑选以 4 个基本面指标（营业收入、现金流、净资产、分红）来衡量的经济规模最大的 50 家 A 股上市公司作为样本，且样本个股的权重配置与其经济规模相适应。
sh.000966,基本400,中证锐联基本面400指数,2010/6/2,中证指数有限公司,从沪深A股中挑选基本面价值（营业收入、现金流、净资产和分红四个财务指标来衡量）第201至第600家上市公司作为样本。
sh.000971,等权90,中证等权重90指数,2010/12/2,中证指数有限公司,由上证50和深成指组成，以综合反映沪深两市规模大、流动性好的90家公司的整体表现。
sh.000982,500等权,中证500等权重指数,2011/6/13,中证指数有限公司,与中证500指数拥有相同的成份股，采用等权重加权。
sh.000984,300等权,沪深300等权重指数,2011/8/2,中证指数有限公司,与沪深300指数拥有相同的成份股，采用等权重加权。
sh.000851,百发100,中证百度百发策略100指数,2014/7/30,中证指数有限公司,以中证全指为样本空间，选取综合财务因子、综合动量因子和搜索因子综合排名前100名的股票构成指数成份股。
