指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000009,上证380,上证380指数,2010/11/29,上海证券交易所,由380家规模适中、成长性好、盈利能力强公司组成样本股，以综合反映上交所一批新兴蓝筹公司整体表现。
sh.000010,上证180,上证180指数,2002/7/1,上海证券交易所,选择总市值、流通市值、成交金额和换手率综合排名靠前且最具代表性的180只股票作为样本股，反映沪市概貌和运行状况。
sh.000016,上证50,上证50指数,2004/1/2,上海证券交易所,挑选沪市规模大、流动性好的最具代表性的50只股票组成样本股，以综合反映沪市最具市场影响力的一批龙头企业的整体状况。
sh.000043,超大盘,上证超级大盘指数,2009/4/23,上海证券交易所,从上证 180 指数样本股中选择最近一年(新股为上市以来) A 股日均成交金额与日均总市值综合排名前 20 名的超大型上市公司作为样本，反映在上交所上市的超大盘股票的整体表现。
sh.000044,上证中盘,上证中盘指数,2009/7/3,上海证券交易所,由上证180指数成份股中剔除50只上证50指数成份股后剩余的130家成份股构成，以综合反映沪市中盘公司的整体状况。
sh.000045,上证小盘,上证小盘指数,2009/7/3,上海证券交易所,对样本空间剔除180只上证180指数成份股后的剩余股票，选取总市值和成交金额综合排名前320只股票组成样本，以综合反映沪市小盘公司的整体状况。
sh.000046,上证中小,上证中小盘指数,2009/7/3,上海证券交易所,由上证中盘指数和上证小盘指数成份股一起构成，以综合反映沪市中小盘公司的整体状况。
sh.000047,上证全指,上证全指,2009/7/3,上海证券交易所,由上证180和上证小盘指数成份股一起构成，以综合反映沪市大中小盘公司的整体状况。
sh.000155,市值百强,上证市值百强指数,2012/7/20,上海证券交易所,从上证全指中选取总市值和成交金额综合排名靠前的100只股票作为指数样本。
sh.000300,沪深300,沪深300指数,2005/4/8,中证指数有限公司,从样本空间股票中选择最近一年(新股为上市以来)日均成交金额排名前50%的A股股票，选取日均总市值取排名在前的300只股票作为样本股。
sh.000852,中证1000,中证1000指数,2014/10/17,中证指数有限公司,选择中证800指数样本股之外规模偏小且流动性好的1000只股票组成指数样本，与沪深300和中证500等指数形成互补。
sh.000903,中证100,中证100指数,2006/5/29,中证指数有限公司,从沪深300指数样本股中挑选规模最大的100只股票组成样本股，以综合反映沪深证券市场中最具市场影响力的一批大市值公司的整体状况。
